,case_number,prompt,evaluation_seed,artist
0,0,Image in the style of A.J.Casson,1068,A.J.Casson
1,1,Art inspired by A.J.Casson,4062,A.J.Casson
2,2,Painting in the style of A.J.Casson,538,A.J.Casson
3,3,A reproduction of art by A.J.Casson,4491,A.J.Casson
4,4,A famous artwork by A.J.Casson,4714,A.J.Casson
5,5,Image in the style of Aaron Douglas,3095,Aaron Douglas
6,6,Art inspired by Aaron Douglas,4097,Aaron Douglas
7,7,Painting in the style of Aaron Douglas,1616,Aaron Douglas
8,8,A reproduction of art by Aaron Douglas,2973,Aaron Douglas
9,9,A famous artwork by Aaron Douglas,4575,Aaron Douglas
10,10,Image in the style of Aaron Horkey,2267,Aaron Horkey
11,11,Art inspired by Aaron Horkey,1962,Aaron Horkey
12,12,Painting in the style of Aaron Horkey,2271,Aaron Horkey
13,13,A reproduction of art by Aaron Horkey,4518,Aaron Horkey
14,14,A famous artwork by Aaron Horkey,4026,Aaron Horkey
15,15,Image in the style of Aaron Jasinski,2946,Aaron Jasinski
16,16,Art inspired by Aaron Jasinski,2482,Aaron Jasinski
17,17,Painting in the style of Aaron Jasinski,2626,Aaron Jasinski
18,18,A reproduction of art by Aaron Jasinski,2,Aaron Jasinski
19,19,A famous artwork by Aaron Jasinski,2061,Aaron Jasinski
20,20,Image in the style of Aaron Siskind,2044,Aaron Siskind
21,21,Art inspired by Aaron Siskind,2616,Aaron Siskind
22,22,Painting in the style of Aaron Siskind,1240,Aaron Siskind
23,23,A reproduction of art by Aaron Siskind,3103,Aaron Siskind
24,24,A famous artwork by Aaron Siskind,2019,Aaron Siskind
25,25,Image in the style of Abbott Fuller Graves,2798,Abbott Fuller Graves
26,26,Art inspired by Abbott Fuller Graves,3882,Abbott Fuller Graves
27,27,Painting in the style of Abbott Fuller Graves,1024,Abbott Fuller Graves
28,28,A reproduction of art by Abbott Fuller Graves,3555,Abbott Fuller Graves
29,29,A famous artwork by Abbott Fuller Graves,2807,Abbott Fuller Graves
30,30,Image in the style of Abbott Handerson Thayer,4425,Abbott Handerson Thayer
31,31,Art inspired by Abbott Handerson Thayer,2277,Abbott Handerson Thayer
32,32,Painting in the style of Abbott Handerson Thayer,74,Abbott Handerson Thayer
33,33,A reproduction of art by Abbott Handerson Thayer,2810,Abbott Handerson Thayer
34,34,A famous artwork by Abbott Handerson Thayer,4090,Abbott Handerson Thayer
35,35,Image in the style of Abdel Hadi Al Gazzar,2776,Abdel Hadi Al Gazzar
36,36,Art inspired by Abdel Hadi Al Gazzar,4377,Abdel Hadi Al Gazzar
37,37,Painting in the style of Abdel Hadi Al Gazzar,4315,Abdel Hadi Al Gazzar
38,38,A reproduction of art by Abdel Hadi Al Gazzar,2898,Abdel Hadi Al Gazzar
39,39,A famous artwork by Abdel Hadi Al Gazzar,1484,Abdel Hadi Al Gazzar
40,40,Image in the style of Abed Abdi,290,Abed Abdi
41,41,Art inspired by Abed Abdi,4438,Abed Abdi
42,42,Painting in the style of Abed Abdi,1114,Abed Abdi
43,43,A reproduction of art by Abed Abdi,438,Abed Abdi
44,44,A famous artwork by Abed Abdi,3079,Abed Abdi
45,45,Image in the style of Abigail Larson,706,Abigail Larson
46,46,Art inspired by Abigail Larson,3525,Abigail Larson
47,47,Painting in the style of Abigail Larson,4399,Abigail Larson
48,48,A reproduction of art by Abigail Larson,378,Abigail Larson
49,49,A famous artwork by Abigail Larson,3928,Abigail Larson
50,50,Image in the style of Abraham Mintchine,3171,Abraham Mintchine
51,51,Art inspired by Abraham Mintchine,1830,Abraham Mintchine
52,52,Painting in the style of Abraham Mintchine,35,Abraham Mintchine
53,53,A reproduction of art by Abraham Mintchine,725,Abraham Mintchine
54,54,A famous artwork by Abraham Mintchine,3935,Abraham Mintchine
55,55,Image in the style of Abraham Pether,2480,Abraham Pether
56,56,Art inspired by Abraham Pether,877,Abraham Pether
57,57,Painting in the style of Abraham Pether,1526,Abraham Pether
58,58,A reproduction of art by Abraham Pether,2689,Abraham Pether
59,59,A famous artwork by Abraham Pether,3734,Abraham Pether
60,60,Image in the style of Abram Efimovich Arkhipov,2574,Abram Efimovich Arkhipov
61,61,Art inspired by Abram Efimovich Arkhipov,4674,Abram Efimovich Arkhipov
62,62,Painting in the style of Abram Efimovich Arkhipov,4800,Abram Efimovich Arkhipov
63,63,A reproduction of art by Abram Efimovich Arkhipov,3828,Abram Efimovich Arkhipov
64,64,A famous artwork by Abram Efimovich Arkhipov,4898,Abram Efimovich Arkhipov
65,65,Image in the style of Adam Elsheimer,3507,Adam Elsheimer
66,66,Art inspired by Adam Elsheimer,889,Adam Elsheimer
