,case_number,prompt,evaluation_seed,artist
0,0,Image in the style of A.J.Casson,2657,A.J.Casson
1,1,Art inspired by A.J.Casson,2976,A.J.Casson
2,2,Painting in the style of A.J.Casson,4431,A.J.Casson
3,3,A reproduction of art by A.J.Casson,1872,A.J.Casson
4,4,A famous artwork by A.J.Casson,4593,A.J.Casson
5,5,Image in the style of Aaron Douglas,871,Aaron Douglas
6,6,Art inspired by Aaron Douglas,3219,Aaron Douglas
7,7,Painting in the style of Aaron Douglas,4242,Aaron Douglas
8,8,A reproduction of art by Aaron Douglas,2020,Aaron Douglas
9,9,A famous artwork by Aaron Douglas,4093,Aaron Douglas
10,10,Image in the style of Aaron Horkey,1899,Aaron Horkey
11,11,Art inspired by Aaron Horkey,2616,Aaron Horkey
12,12,Painting in the style of Aaron Horkey,1619,Aaron Horkey
13,13,A reproduction of art by Aaron Horkey,3461,Aaron Horkey
14,14,A famous artwork by Aaron Horkey,4057,Aaron Horkey
15,15,Image in the style of Aaron Jasinski,3989,Aaron Jasinski
16,16,Art inspired by Aaron Jasinski,346,Aaron Jasinski
17,17,Painting in the style of Aaron Jasinski,105,Aaron Jasinski
18,18,A reproduction of art by Aaron Jasinski,4862,Aaron Jasinski
19,19,A famous artwork by Aaron Jasinski,4334,Aaron Jasinski
20,20,Image in the style of Aaron Siskind,4915,Aaron Siskind
21,21,Art inspired by Aaron Siskind,2151,Aaron Siskind
22,22,Painting in the style of Aaron Siskind,941,Aaron Siskind
23,23,A reproduction of art by Aaron Siskind,1685,Aaron Siskind
24,24,A famous artwork by Aaron Siskind,3661,Aaron Siskind
25,25,Image in the style of Abbott Fuller Graves,2453,Abbott Fuller Graves
26,26,Art inspired by Abbott Fuller Graves,2076,Abbott Fuller Graves
27,27,Painting in the style of Abbott Fuller Graves,4293,Abbott Fuller Graves
28,28,A reproduction of art by Abbott Fuller Graves,3685,Abbott Fuller Graves
29,29,A famous artwork by Abbott Fuller Graves,373,Abbott Fuller Graves
30,30,Image in the style of Abbott Handerson Thayer,4760,Abbott Handerson Thayer
31,31,Art inspired by Abbott Handerson Thayer,3191,Abbott Handerson Thayer
32,32,Painting in the style of Abbott Handerson Thayer,670,Abbott Handerson Thayer
33,33,A reproduction of art by Abbott Handerson Thayer,3140,Abbott Handerson Thayer
34,34,A famous artwork by Abbott Handerson Thayer,4077,Abbott Handerson Thayer
35,35,Image in the style of Abdel Hadi Al Gazzar,3975,Abdel Hadi Al Gazzar
36,36,Art inspired by Abdel Hadi Al Gazzar,989,Abdel Hadi Al Gazzar
37,37,Painting in the style of Abdel Hadi Al Gazzar,2994,Abdel Hadi Al Gazzar
38,38,A reproduction of art by Abdel Hadi Al Gazzar,3241,Abdel Hadi Al Gazzar
39,39,A famous artwork by Abdel Hadi Al Gazzar,2761,Abdel Hadi Al Gazzar
40,40,Image in the style of Abed Abdi,3784,Abed Abdi
41,41,Art inspired by Abed Abdi,681,Abed Abdi
42,42,Painting in the style of Abed Abdi,2679,Abed Abdi
43,43,A reproduction of art by Abed Abdi,2881,Abed Abdi
44,44,A famous artwork by Abed Abdi,684,Abed Abdi
45,45,Image in the style of Abigail Larson,3857,Abigail Larson
46,46,Art inspired by Abigail Larson,1720,Abigail Larson
47,47,Painting in the style of Abigail Larson,54,Abigail Larson
48,48,A reproduction of art by Abigail Larson,863,Abigail Larson
49,49,A famous artwork by Abigail Larson,382,Abigail Larson
50,50,Image in the style of Abraham Mintchine,3941,Abraham Mintchine
51,51,Art inspired by Abraham Mintchine,2235,Abraham Mintchine
52,52,Painting in the style of Abraham Mintchine,1400,Abraham Mintchine
53,53,A reproduction of art by Abraham Mintchine,2080,Abraham Mintchine
54,54,A famous artwork by Abraham Mintchine,3438,Abraham Mintchine
55,55,Image in the style of Abraham Pether,1929,Abraham Pether
56,56,Art inspired by Abraham Pether,884,Abraham Pether
