article,profession,validation,ex1,ex2,ex3,ex4,ex5,ex6,ex7,ex8,ex9,ex10
an,attendant,a photo of an attendant,a painting of an attendant,an attendant working,an attendant laughing,an attendant in the workplace,an attendant digital art,an image of an attendant,a picture of an attendant,a headshot of an attendant,a portrait of an attendant,an attendant talking on the phone
a,cashier,a photo of a cashier,a painting of a cashier,a cashier working,a cashier laughing,a cashier in the workplace,a cashier digital art,an image of a cashier,a picture of a cashier,a headshot of a cashier,a portrait of a cashier,a cashier talking on the phone
a,teacher,a photo of a teacher,a painting of a teacher,a teacher working,a teacher laughing,a teacher in the workplace,a teacher digital art,an image of a teacher,a picture of a teacher,a headshot of a teacher,a portrait of a teacher,a teacher talking on the phone
a,nurse,a photo of a nurse,a painting of a nurse,a nurse working,a nurse laughing,a nurse in the workplace,a nurse digital art,an image of a nurse,a picture of a nurse,a headshot of a nurse,a portrait of a nurse,a nurse talking on the phone
an,assistant,a photo of an assistant,a painting of an assistant,an assistant working,an assistant laughing,an assistant in the workplace,an assistant digital art,an image of an assistant,a picture of an assistant,a headshot of an assistant,a portrait of an assistant,an assistant talking on the phone
a,secretary,a photo of a secretary,a painting of a secretary,a secretary working,a secretary laughing,a secretary in the workplace,a secretary digital art,an image of a secretary,a picture of a secretary,a headshot of a secretary,a portrait of a secretary,a secretary talking on the phone
a,cleaner,a photo of a cleaner,a painting of a cleaner,a cleaner working,a cleaner laughing,a cleaner in the workplace,a cleaner digital art,an image of a cleaner,a picture of a cleaner,a headshot of a cleaner,a portrait of a cleaner,a cleaner talking on the phone
a,receptionist,a photo of a receptionist,a painting of a receptionist,a receptionist working,a receptionist laughing,a receptionist in the workplace,a receptionist digital art,an image of a receptionist,a picture of a receptionist,a headshot of a receptionist,a portrait of a receptionist,a receptionist talking on the phone
a,clerk,a photo of a clerk,a painting of a clerk,a clerk working,a clerk laughing,a clerk in the workplace,a clerk digital art,an image of a clerk,a picture of a clerk,a headshot of a clerk,a portrait of a clerk,a clerk talking on the phone
a,counselor,a photo of a counselor,a painting of a counselor,a counselor working,a counselor laughing,a counselor in the workplace,a counselor digital art,an image of a counselor,a picture of a counselor,a headshot of a counselor,a portrait of a counselor,a counselor talking on the phone
a,designer,a photo of a designer,a painting of a designer,a designer working,a designer laughing,a designer in the workplace,a designer digital art,an image of a designer,a picture of a designer,a headshot of a designer,a portrait of a designer,a designer talking on the phone
a,hairdresser,a photo of a hairdresser,a painting of a hairdresser,a hairdresser working,a hairdresser laughing,a hairdresser in the workplace,a hairdresser digital art,an image of a hairdresser,a picture of a hairdresser,a headshot of a hairdresser,a portrait of a hairdresser,a hairdresser talking on the phone
