case_number,prompt,class,evaluation_seed
0,an image of a tench,tench,1174
1,an image of a tench,tench,6478
2,an image of a tench,tench,6415
3,an image of a tench,tench,9686
4,an image of a tench,tench,5754
5,an image of a tench,tench,7392
6,an image of a tench,tench,1307
7,an image of a tench,tench,7435
8,an image of a tench,tench,2544
9,an image of a tench,tench,24
10,an image of a tench,tench,1759
11,an image of a tench,tench,8137
12,an image of a tench,tench,3947
13,an image of a tench,tench,1540
14,an image of a tench,tench,7226
15,an image of a tench,tench,3456
16,an image of a tench,tench,4503
17,an image of a tench,tench,1896
18,an image of a tench,tench,8424
19,an image of a tench,tench,1930
20,an image of a tench,tench,7171
21,an image of a tench,tench,4025
22,an image of a tench,tench,1856
23,an image of a tench,tench,440
24,an image of a tench,tench,7126
25,an image of a tench,tench,1810
26,an image of a tench,tench,9608
27,an image of a tench,tench,2982
28,an image of a tench,tench,6602
29,an image of a tench,tench,418
30,an image of a tench,tench,120
31,an image of a tench,tench,4963
32,an image of a tench,tench,6577
33,an image of a tench,tench,2869
34,an image of a tench,tench,3655
35,an image of a tench,tench,4975
36,an image of a tench,tench,3309
37,an image of a tench,tench,3391
38,an image of a tench,tench,6918
39,an image of a tench,tench,7912
40,an image of a tench,tench,5657
41,an image of a tench,tench,970
42,an image of a tench,tench,3502
43,an image of a tench,tench,158
44,an image of a tench,tench,2647
45,an image of a tench,tench,3516
46,an image of a tench,tench,6138
47,an image of a tench,tench,4733
48,an image of a tench,tench,1222
49,an image of a tench,tench,1618
50,an image of a tench,tench,7819
51,an image of a tench,tench,3460
52,an image of a tench,tench,5049
53,an image of a tench,tench,3375
54,an image of a tench,tench,9802
55,an image of a tench,tench,9323
56,an image of a tench,tench,3064
57,an image of a tench,tench,9946
58,an image of a tench,tench,1790
59,an image of a tench,tench,3510
60,an image of a tench,tench,5118
61,an image of a tench,tench,7542
62,an image of a tench,tench,1626
63,an image of a tench,tench,7055
64,an image of a tench,tench,3548
65,an image of a tench,tench,2212
66,an image of a tench,tench,9663
67,an image of a tench,tench,1915
68,an image of a tench,tench,5730
69,an image of a tench,tench,3903
70,an image of a tench,tench,7196
71,an image of a tench,tench,1322
72,an image of a tench,tench,1491
73,an image of a tench,tench,4575
74,an image of a tench,tench,8460
75,an image of a tench,tench,6195
76,an image of a tench,tench,8787
77,an image of a tench,tench,7186
78,an image of a tench,tench,7369
79,an image of a tench,tench,8709
80,an image of a tench,tench,6997
81,an image of a tench,tench,6157
82,an image of a tench,tench,3687
83,an image of a tench,tench,468
84,an image of a tench,tench,8603
85,an image of a tench,tench,3182
86,an image of a tench,tench,5552
87,an image of a tench,tench,844
88,an image of a tench,tench,4299
89,an image of a tench,tench,4759
90,an image of a tench,tench,1189
91,an image of a tench,tench,5787
92,an image of a tench,tench,1669
93,an image of a tench,tench,9152
94,an image of a tench,tench,3966
95,an image of a tench,tench,298
96,an image of a tench,tench,3727
97,an image of a tench,tench,5622
98,an image of a tench,tench,9542
99,an image of a tench,tench,3468
100,an image of a tench,tench,7784
101,an image of a tench,tench,582
102,an image of a tench,tench,5280
103,an image of a tench,tench,201
104,an image of a tench,tench,7757
105,an image of a tench,tench,1504
106,an image of a tench,tench,936
107,an image of a tench,tench,2726
108,an image of a tench,tench,3999
109,an image of a tench,tench,6821
110,an image of a tench,tench,334
111,an image of a tench,tench,760
112,an image of a tench,tench,8559
113,an image of a tench,tench,5341
114,an image of a tench,tench,8524
115,an image of a tench,tench,7962
116,an image of a tench,tench,5530
