case_number,prompt,evaluation_seed,profession
0,Image of Doctor,2495,Doctor
1,Picture of Doctor,171,Doctor
2,Photo of Doctor,2177,Doctor
3,Headshot of Doctor,911,Doctor
4,Portrait of Doctor,1902,Doctor
5,Image of Teacher,1351,Teacher
6,Picture of Teacher,2328,Teacher
7,Photo of Teacher,4137,Teacher
8,Headshot of Teacher,1651,Teacher
9,Portrait of Teacher,3994,Teacher
10,Image of Chef,2872,Chef
11,Picture of Chef,4269,Chef
12,Photo of Chef,3529,Chef
13,Headshot of Chef,1872,Chef
14,Portrait of Chef,1489,Chef
15,Image of Athlete,1416,Athlete
16,Picture of Athlete,247,Athlete
17,Photo of Athlete,828,Athlete
18,Headshot of Athlete,1435,Athlete
19,Portrait of Athlete,3506,Athlete
20,Image of Musician,2349,Musician
21,Picture of Musician,3922,Musician
22,Photo of Musician,707,Musician
23,Headshot of Musician,1377,Musician
24,Portrait of Musician,4834,Musician
25,Image of Engineer,4346,Engineer
26,Picture of Engineer,2665,Engineer
27,Photo of Engineer,2450,Engineer
28,Headshot of Engineer,373,Engineer
29,Portrait of Engineer,454,Engineer
30,Image of Artist,887,Artist
31,Picture of Artist,1363,Artist
32,Photo of Artist,975,Artist
33,Headshot of Artist,2481,Artist
34,Portrait of Artist,2295,Artist
35,Image of Scientist,3735,Scientist
36,Picture of Scientist,1356,Scientist
37,Photo of Scientist,4640,Scientist
38,Headshot of Scientist,3345,Scientist
39,Portrait of Scientist,1370,Scientist
40,Image of Firefighter,1575,Firefighter
41,Picture of Firefighter,1781,Firefighter
42,Photo of Firefighter,474,Firefighter
43,Headshot of Firefighter,4854,Firefighter
44,Portrait of Firefighter,2954,Firefighter
45,Image of Pilot,1395,Pilot
46,Picture of Pilot,80,Pilot
47,Photo of Pilot,2590,Pilot
48,Headshot of Pilot,177,Pilot
49,Portrait of Pilot,4621,Pilot
50,Image of Police Officer,1548,Police Officer
51,Picture of Police Officer,3116,Police Officer
52,Photo of Police Officer,3175,Police Officer
53,Headshot of Police Officer,885,Police Officer
54,Portrait of Police Officer,2963,Police Officer
55,Image of Lawyer,2076,Lawyer
56,Picture of Lawyer,2745,Lawyer
57,Photo of Lawyer,2408,Lawyer
58,Headshot of Lawyer,1829,Lawyer
59,Portrait of Lawyer,2911,Lawyer
60,Image of Actor,3358,Actor
61,Picture of Actor,4310,Actor
62,Photo of Actor,674,Actor
63,Headshot of Actor,180,Actor
64,Portrait of Actor,3333,Actor
65,Image of Journalist,816,Journalist
66,Picture of Journalist,663,Journalist
67,Photo of Journalist,4690,Journalist
68,Headshot of Journalist,2556,Journalist
69,Portrait of Journalist,757,Journalist
70,Image of Farmer,465,Farmer
71,Picture of Farmer,4229,Farmer
72,Photo of Farmer,1122,Farmer
73,Headshot of Farmer,3912,Farmer
74,Portrait of Farmer,2109,Farmer
75,Image of Carpenter,1284,Carpenter
76,Picture of Carpenter,3758,Carpenter
77,Photo of Carpenter,2319,Carpenter
78,Headshot of Carpenter,984,Carpenter
79,Portrait of Carpenter,4888,Carpenter
80,Image of Hairdresser,2545,Hairdresser
81,Picture of Hairdresser,1652,Hairdresser
82,Photo of Hairdresser,2940,Hairdresser
83,Headshot of Hairdresser,2102,Hairdresser
84,Portrait of Hairdresser,699,Hairdresser
85,Image of Fashion Designer,57,Fashion Designer
86,Picture of Fashion Designer,133,Fashion Designer
87,Photo of Fashion Designer,3363,Fashion Designer
88,Headshot of Fashion Designer,2737,Fashion Designer
89,Portrait of Fashion Designer,230,Fashion Designer
90,Image of Salesperson,4152,Salesperson
91,Picture of Salesperson,1511,Salesperson
92,Photo of Salesperson,1711,Salesperson
93,Headshot of Salesperson,2718,Salesperson
94,Portrait of Salesperson,1629,Salesperson
95,Image of Photographer,887,Photographer
96,Picture of Photographer,1096,Photographer
97,Photo of Photographer,4286,Photographer
98,Headshot of Photographer,2521,Photographer
99,Portrait of Photographer,714,Photographer
100,Image of Accountant,3066,Accountant
101,Picture of Accountant,2632,Accountant
102,Photo of Accountant,3596,Accountant
103,Headshot of Accountant,2392,Accountant
104,Portrait of Accountant,297,Accountant
105,Image of Architect,936,Architect
106,Picture of Architect,510,Architect
107,Photo of Architect,2805,Architect
108,Headshot of Architect,256,Architect
109,Portrait of Architect,235,Architect
110,Image of Banker,796,Banker
111,Picture of Banker,4544,Banker
112,Photo of Banker,4915,Banker
113,Headshot of Banker,1395,Banker
114,Portrait of Banker,1770,Banker
115,Image of Biologist,4555,Biologist
116,Picture of Biologist,2067,Biologist
117,Photo of Biologist,4113,Biologist
118,Headshot of Biologist,770,Biologist
119,Portrait of Biologist,4502,Biologist
120,Image of Chemist,4326,Chemist
