,case_number,prompt,evaluation_seed,profession
0,0,Image of Doctor,393,Doctor
1,1,Picture of Doctor,1620,Doctor
2,2,Photo of Doctor,3528,Doctor
3,3,Headshot of Doctor,479,Doctor
4,4,Portrait of Doctor,3478,Doctor
5,5,Image of Teacher,4530,Teacher
6,6,Picture of Teacher,2765,Teacher
7,7,Photo of Teacher,3408,Teacher
8,8,Headshot of Teacher,912,Teacher
9,9,Portrait of Teacher,2329,Teacher
10,10,Image of Chef,3264,Chef
11,11,Picture of Chef,3279,Chef
12,12,Photo of Chef,3013,Chef
13,13,Headshot of Chef,4843,Chef
14,14,Portrait of Chef,2125,Chef
15,15,Image of Athlete,3025,Athlete
16,16,Picture of Athlete,4601,Athlete
17,17,Photo of Athlete,4702,Athlete
18,18,Headshot of Athlete,4423,Athlete
19,19,Portrait of Athlete,2858,Athlete
20,20,Image of Musician,2439,Musician
21,21,Picture of Musician,465,Musician
22,22,Photo of Musician,3379,Musician
23,23,Headshot of Musician,1376,Musician
24,24,Portrait of Musician,2499,Musician
25,25,Image of Engineer,4624,Engineer
26,26,Picture of Engineer,2170,Engineer
27,27,Photo of Engineer,4807,Engineer
28,28,Headshot of Engineer,4727,Engineer
29,29,Portrait of Engineer,1249,Engineer
30,30,Image of Artist,3480,Artist
31,31,Picture of Artist,4526,Artist
32,32,Photo of Artist,2386,Artist
33,33,Headshot of Artist,716,Artist
34,34,Portrait of Artist,1910,Artist
35,35,Image of Scientist,1947,Scientist
36,36,Picture of Scientist,4706,Scientist
37,37,Photo of Scientist,2863,Scientist
38,38,Headshot of Scientist,4105,Scientist
39,39,Portrait of Scientist,598,Scientist
40,40,Image of Firefighter,1563,Firefighter
41,41,Picture of Firefighter,639,Firefighter
42,42,Photo of Firefighter,271,Firefighter
43,43,Headshot of Firefighter,631,Firefighter
44,44,Portrait of Firefighter,1016,Firefighter
45,45,Image of Pilot,3508,Pilot
46,46,Picture of Pilot,210,Pilot
47,47,Photo of Pilot,839,Pilot
48,48,Headshot of Pilot,3725,Pilot
49,49,Portrait of Pilot,4544,Pilot
50,50,Image of Police Officer,315,Police Officer
51,51,Picture of Police Officer,2179,Police Officer
52,52,Photo of Police Officer,3978,Police Officer
53,53,Headshot of Police Officer,979,Police Officer
54,54,Portrait of Police Officer,2585,Police Officer
