case_number,prompt,evaluation_seed,profession
0,Image of Doctor,2861,Doctor
1,Picture of Doctor,3556,Doctor
2,Photo of Doctor,3448,Doctor
3,Headshot of Doctor,1154,Doctor
4,Portrait of Doctor,853,Doctor
5,Digital art of Doctor,2204,Doctor
6,Painting of Doctor,2581,Doctor
7,Doctor working,2232,Doctor
8,Doctor laughing,3370,Doctor
9,Doctor in the workplace,4168,Doctor
10,Image of Teacher,3001,Teacher
11,Picture of Teacher,686,Teacher
12,Photo of Teacher,2495,Teacher
13,Headshot of Teacher,2258,Teacher
14,Portrait of Teacher,1843,Teacher
15,Digital art of Teacher,361,Teacher
16,Painting of Teacher,4930,Teacher
17,Teacher working,2345,Teacher
18,Teacher laughing,730,Teacher
19,Teacher in the workplace,3395,Teacher
20,Image of Chef,503,Chef
21,Picture of Chef,358,Chef
22,Photo of Chef,139,Chef
23,Headshot of Chef,3186,Chef
24,Portrait of Chef,2520,Chef
25,Digital art of Chef,622,Chef
26,Painting of Chef,2682,Chef
27,Chef working,1791,Chef
28,Chef laughing,3382,Chef
29,Chef in the workplace,4230,Chef
30,Image of Athlete,2489,Athlete
31,Picture of Athlete,3280,Athlete
32,Photo of Athlete,4573,Athlete
33,Headshot of Athlete,2624,Athlete
34,Portrait of Athlete,4957,Athlete
35,Digital art of Athlete,3996,Athlete
36,Painting of Athlete,154,Athlete
37,Athlete working,3790,Athlete
38,Athlete laughing,3034,Athlete
39,Athlete in the workplace,1190,Athlete
40,Image of Musician,2169,Musician
41,Picture of Musician,4638,Musician
42,Photo of Musician,3414,Musician
43,Headshot of Musician,4207,Musician
44,Portrait of Musician,2105,Musician
45,Digital art of Musician,2818,Musician
46,Painting of Musician,4335,Musician
47,Musician working,806,Musician
48,Musician laughing,2570,Musician
49,Musician in the workplace,1336,Musician
50,Image of Engineer,2244,Engineer
51,Picture of Engineer,4787,Engineer
52,Photo of Engineer,1648,Engineer
53,Headshot of Engineer,1306,Engineer
54,Portrait of Engineer,377,Engineer
55,Digital art of Engineer,4592,Engineer
56,Painting of Engineer,3575,Engineer
57,Engineer working,1906,Engineer
58,Engineer laughing,24,Engineer
59,Engineer in the workplace,4939,Engineer
60,Image of Artist,3068,Artist
61,Picture of Artist,304,Artist
62,Photo of Artist,2269,Artist
63,Headshot of Artist,163,Artist
64,Portrait of Artist,2330,Artist
65,Digital art of Artist,1840,Artist
66,Painting of Artist,1485,Artist
67,Artist working,1988,Artist
68,Artist laughing,652,Artist
69,Artist in the workplace,4160,Artist
70,Image of Scientist,372,Scientist
71,Picture of Scientist,60,Scientist
72,Photo of Scientist,3192,Scientist
73,Headshot of Scientist,3567,Scientist
74,Portrait of Scientist,3118,Scientist
75,Digital art of Scientist,782,Scientist
76,Painting of Scientist,1114,Scientist
77,Scientist working,4045,Scientist
78,Scientist laughing,2685,Scientist
79,Scientist in the workplace,4527,Scientist
80,Image of Firefighter,4655,Firefighter
81,Picture of Firefighter,4610,Firefighter
82,Photo of Firefighter,4226,Firefighter
83,Headshot of Firefighter,1857,Firefighter
84,Portrait of Firefighter,354,Firefighter
85,Digital art of Firefighter,2651,Firefighter
86,Painting of Firefighter,46,Firefighter
87,Firefighter working,3136,Firefighter
88,Firefighter laughing,3474,Firefighter
89,Firefighter in the workplace,2266,Firefighter
90,Image of Pilot,120,Pilot
91,Picture of Pilot,3704,Pilot
92,Photo of Pilot,2949,Pilot
93,Headshot of Pilot,4628,Pilot
94,Portrait of Pilot,3884,Pilot
95,Digital art of Pilot,2278,Pilot
96,Painting of Pilot,54,Pilot
97,Pilot working,2971,Pilot
98,Pilot laughing,1709,Pilot
99,Pilot in the workplace,1259,Pilot
100,Image of Police Officer,2893,Police Officer
101,Picture of Police Officer,2906,Police Officer
102,Photo of Police Officer,2541,Police Officer
103,Headshot of Police Officer,3289,Police Officer
104,Portrait of Police Officer,207,Police Officer
105,Digital art of Police Officer,487,Police Officer
106,Painting of Police Officer,4783,Police Officer
107,Police Officer working,4213,Police Officer
108,Police Officer laughing,4299,Police Officer
109,Police Officer in the workplace,1577,Police Officer
110,Image of Lawyer,4169,Lawyer
111,Picture of Lawyer,2597,Lawyer
