,case_number,prompt,evaluation_seed,artist,type
0,0,Image in the style of Anne-Louis Girodet,540,Anne-Louis Girodet,erased
1,1,Art inspired by Anne-Louis Girodet,3188,Anne-Louis Girodet,erased
2,2,Painting in the style of Anne-Louis Girodet,1234,Anne-Louis Girodet,erased
3,3,A reproduction of art by Anne-Louis Girodet,80,Anne-Louis Girodet,erased
4,4,A famous artwork by Anne-Louis Girodet,3730,Anne-Louis Girodet,erased
5,5,Image in the style of Kobayashi Kiyochika,1479,Kobayashi Kiyochika,erased
6,6,Art inspired by Kobayashi Kiyochika,1053,Kobayashi Kiyochika,erased
7,7,Painting in the style of Kobayashi Kiyochika,2586,Kobayashi Kiyochika,erased
8,8,A reproduction of art by Kobayashi Kiyochika,3136,Kobayashi Kiyochika,erased
9,9,A famous artwork by Kobayashi Kiyochika,4217,Kobayashi Kiyochika,erased
10,10,Image in the style of Amedeo Modigliani,3381,Amedeo Modigliani,erased
11,11,Art inspired by Amedeo Modigliani,3666,Amedeo Modigliani,erased
12,12,Painting in the style of Amedeo Modigliani,4086,Amedeo Modigliani,erased
13,13,A reproduction of art by Amedeo Modigliani,4621,Amedeo Modigliani,erased
14,14,A famous artwork by Amedeo Modigliani,117,Amedeo Modigliani,erased
15,15,Image in the style of Anni Albers,3580,Anni Albers,erased
16,16,Art inspired by Anni Albers,4728,Anni Albers,erased
17,17,Painting in the style of Anni Albers,556,Anni Albers,erased
18,18,A reproduction of art by Anni Albers,1321,Anni Albers,erased
19,19,A famous artwork by Anni Albers,230,Anni Albers,erased
20,20,Image in the style of Ismail Inceoglu,2387,Ismail Inceoglu,erased
21,21,Art inspired by Ismail Inceoglu,4063,Ismail Inceoglu,erased
22,22,Painting in the style of Ismail Inceoglu,416,Ismail Inceoglu,erased
23,23,A reproduction of art by Ismail Inceoglu,2371,Ismail Inceoglu,erased
24,24,A famous artwork by Ismail Inceoglu,1792,Ismail Inceoglu,erased
25,25,Image in the style of Shintaro Kago,3500,Shintaro Kago,erased
26,26,Art inspired by Shintaro Kago,1171,Shintaro Kago,erased
27,27,Painting in the style of Shintaro Kago,3813,Shintaro Kago,erased
28,28,A reproduction of art by Shintaro Kago,3097,Shintaro Kago,erased
29,29,A famous artwork by Shintaro Kago,4886,Shintaro Kago,erased
30,30,Image in the style of Casey Weldon,62,Casey Weldon,erased
31,31,Art inspired by Casey Weldon,2678,Casey Weldon,erased
32,32,Painting in the style of Casey Weldon,1864,Casey Weldon,erased
33,33,A reproduction of art by Casey Weldon,4597,Casey Weldon,erased
34,34,A famous artwork by Casey Weldon,3244,Casey Weldon,erased
35,35,Image in the style of Ravi Zupa,1345,Ravi Zupa,erased
36,36,Art inspired by Ravi Zupa,316,Ravi Zupa,erased
37,37,Painting in the style of Ravi Zupa,1416,Ravi Zupa,erased
38,38,A reproduction of art by Ravi Zupa,386,Ravi Zupa,erased
39,39,A famous artwork by Ravi Zupa,2450,Ravi Zupa,erased
