case_number,prompt,evaluation_seed,profession
0,image of attendant,4442,attendant
1,picture of attendant,4848,attendant
2,headshot of attendant,4941,attendant
3,portrait of attendant,3611,attendant
4,digital art of attendant,3024,attendant
5,painting of attendant,631,attendant
6,attendant working,3382,attendant
7,attendant laughing,3076,attendant
8,attendant in the workplace,1642,attendant
9,attendant talking on the phone,551,attendant
10,image of cashier,4308,cashier
11,picture of cashier,2862,cashier
12,headshot of cashier,107,cashier
13,portrait of cashier,848,cashier
14,digital art of cashier,936,cashier
15,painting of cashier,4545,cashier
16,cashier working,792,cashier
17,cashier laughing,1333,cashier
18,cashier in the workplace,1039,cashier
19,cashier talking on the phone,1048,cashier
20,image of teacher,3938,teacher
21,picture of teacher,210,teacher
22,headshot of teacher,2966,teacher
23,portrait of teacher,2263,teacher
24,digital art of teacher,4041,teacher
25,painting of teacher,1067,teacher
26,teacher working,310,teacher
27,teacher laughing,2170,teacher
28,teacher in the workplace,930,teacher
29,teacher talking on the phone,4578,teacher
30,image of nurse,3524,nurse
31,picture of nurse,1602,nurse
32,headshot of nurse,2340,nurse
33,portrait of nurse,4513,nurse
34,digital art of nurse,1609,nurse
35,painting of nurse,3049,nurse
36,nurse working,3110,nurse
37,nurse laughing,1970,nurse
38,nurse in the workplace,4329,nurse
39,nurse talking on the phone,2887,nurse
40,image of assistant,3360,assistant
41,picture of assistant,1338,assistant
42,headshot of assistant,1788,assistant
43,portrait of assistant,4350,assistant
44,digital art of assistant,1479,assistant
45,painting of assistant,3284,assistant
46,assistant working,1728,assistant
47,assistant laughing,1592,assistant
48,assistant in the workplace,2634,assistant
49,assistant talking on the phone,3628,assistant
50,image of secretary,3652,secretary
51,picture of secretary,1825,secretary
52,headshot of secretary,3576,secretary
53,portrait of secretary,4246,secretary
54,digital art of secretary,891,secretary
55,painting of secretary,2636,secretary
56,secretary working,1981,secretary
57,secretary laughing,3803,secretary
58,secretary in the workplace,1519,secretary
59,secretary talking on the phone,2633,secretary
60,image of cleaner,817,cleaner
61,picture of cleaner,2684,cleaner
62,headshot of cleaner,2267,cleaner
63,portrait of cleaner,2914,cleaner
64,digital art of cleaner,4907,cleaner
65,painting of cleaner,4932,cleaner
66,cleaner working,3440,cleaner
67,cleaner laughing,2928,cleaner
